example_index,image_id,part_category,baseline_true_probability,center_mask_probability,border_mask_probability,center_prediction_delta,border_prediction_delta,max_occlusion_grid_row,max_occlusion_grid_column,foreground_proxy_grid_row,foreground_proxy_grid_column,automated_proxy_aligned
1,external_image_coil_spring_4525127,coil_spring,0.03182901069521904,0.05931135267019272,0.007058863062411547,-0.02748234197497368,0.024770147632807493,0,1,1,1,True
2,external_image_taillight_4518332,taillight,0.014582131989300251,0.04957029968500137,0.954422652721405,-0.03498816769570112,-0.9398405207321048,1,1,0,1,True
3,external_image_oil_filter_1715177,oil_filter,0.003470279276371002,0.0006822840659879148,5.25154007391393e-07,0.0027879952103830874,0.003469754122363611,0,2,2,2,False
4,external_image_headlight_2983638,headlight,0.001790262758731842,0.001160436891950667,0.00010737804404925555,0.0006298258667811751,0.0016828847146825865,1,1,1,0,True
5,external_image_shock_absorber_551757,shock_absorber,0.27416175603866577,0.014727650210261345,0.0005566391046158969,0.2594341058284044,0.2736051169340499,1,1,2,1,True
6,air_filter_004_01,air_filter,0.5385183691978455,0.1778348684310913,0.050259269773960114,0.36068350076675415,0.48825909942388535,2,1,1,2,False
7,external_image_brake_pad_2470132,brake_pad,0.6105323433876038,0.22018131613731384,0.09656490385532379,0.3903510272502899,0.51396743953228,1,1,2,1,True
8,external_image_starter_1650046,starter,0.668617308139801,0.007349664345383644,5.6876891903812066e-05,0.6612676437944174,0.6685604312478972,1,2,1,1,True
