left_model_slug,right_model_slug,method,group_column,independent_groups,paired_rows,left_correct_total,right_correct_total,observed_correct_difference,observed_accuracy_difference,left_better_groups,right_better_groups,tied_groups,left_correct_right_wrong_rows,left_wrong_right_correct_rows,row_discordant_predictions,randomization_assignments,randomization_seed,grouped_two_sided_p_value
torch_multimodal_real_only,image_text_logistic_regression,exact_image_group_sign_flip,image_id,20,120,61,40,21,0.175,12,8,0,37,16,53,1048576,,0.0728759765625
torch_multimodal_real_only,torch_multimodal_real_plus_synthetic,exact_image_group_sign_flip,image_id,20,120,61,55,6,0.05,9,4,7,15,9,24,1048576,,0.430419921875
