epoch,loss,accuracy,image_category_accuracy,text_category_accuracy,val_loss,val_accuracy,val_image_category_accuracy,val_text_category_accuracy
1,2.939905713399251,0.3383333333333333,0.10166666666666667,0.14166666666666666,2.9196181297302246,0.3333333333333333,0.15,0.2
2,2.8987290827433267,0.3,0.135,0.26166666666666666,2.861904255549113,0.35833333333333334,0.1,0.45
3,2.8156719175974527,0.3283333333333333,0.12166666666666667,0.7016666666666667,2.7379188855489094,0.35,0.1,1.0
4,2.652993876139323,0.35,0.17166666666666666,0.985,2.546337381998698,0.3333333333333333,0.15,1.0
5,2.4169589932759603,0.36,0.15166666666666667,1.0,2.2870720783869425,0.36666666666666664,0.2,1.0
6,2.187489948272705,0.33666666666666667,0.19166666666666668,1.0,2.0897655646006266,0.4083333333333333,0.2,1.0
7,2.028638728459676,0.3983333333333333,0.21,1.0,2.0095345258712767,0.36666666666666664,0.2,1.0
8,1.9512623755137126,0.42833333333333334,0.2,1.0,1.9542524496714273,0.4666666666666667,0.25,1.0
9,1.8965822792053222,0.44666666666666666,0.21,1.0,1.9281255722045898,0.44166666666666665,0.2,1.0
10,1.861321595509847,0.465,0.21333333333333335,1.0,1.9235748132069905,0.45,0.2,1.0
11,1.8453460725148518,0.4816666666666667,0.21666666666666667,1.0,1.9383430004119873,0.43333333333333335,0.3,1.0
12,1.8075134865442912,0.48,0.22666666666666666,1.0,1.918605875968933,0.4666666666666667,0.2,1.0
13,1.8036446380615234,0.4866666666666667,0.24,1.0,1.9314390579859415,0.425,0.3,1.0
14,1.7876425552368165,0.505,0.25,1.0,1.9018996477127075,0.4666666666666667,0.3,1.0
15,1.7731739981969197,0.5116666666666667,0.24833333333333332,1.0,1.8761090596516927,0.475,0.25,1.0
16,1.7416436004638671,0.525,0.29,1.0,1.8900034745534262,0.49166666666666664,0.25,1.0
17,1.7339151096343994,0.5433333333333333,0.2833333333333333,1.0,1.8851414362589518,0.45,0.35,1.0
18,1.7827825991312662,0.4766666666666667,0.25666666666666665,1.0,1.850504207611084,0.5,0.3,1.0
19,1.719112181663513,0.5166666666666667,0.29,1.0,1.8809386650721232,0.48333333333333334,0.3,1.0
20,1.729062868754069,0.53,0.2733333333333333,1.0,1.9342856009801228,0.44166666666666665,0.3,1.0
21,1.724348414738973,0.5416666666666666,0.29833333333333334,1.0,1.869575055440267,0.49166666666666664,0.4,1.0
22,1.6590580606460572,0.5583333333333333,0.29833333333333334,1.0,1.8445251782735188,0.5083333333333333,0.4,1.0
23,1.6653716945648194,0.54,0.315,1.0,1.9015488783518473,0.525,0.35,1.0
24,1.637785374323527,0.54,0.325,1.0,1.9198708057403564,0.5333333333333333,0.4,1.0
25,1.6202392482757568,0.585,0.34,1.0,1.885282528400421,0.5083333333333333,0.4,1.0
26,1.6273436991373698,0.5366666666666666,0.3333333333333333,1.0,1.879882534344991,0.48333333333333334,0.35,1.0
27,1.6229211966196695,0.5533333333333333,0.32,1.0,1.9010945796966552,0.5166666666666667,0.25,1.0
28,1.5979202429453532,0.5616666666666666,0.34,1.0,1.9066737254460653,0.525,0.35,1.0
29,1.5898915640513103,0.5583333333333333,0.3433333333333333,1.0,1.9166233936945598,0.475,0.35,1.0
30,1.593265921274821,0.56,0.3466666666666667,1.0,1.9447200536727904,0.5083333333333333,0.3,1.0
31,1.5820337915420533,0.575,0.3566666666666667,1.0,1.8825481414794922,0.5083333333333333,0.3,1.0
32,1.5404910278320312,0.6066666666666667,0.36,1.0,1.9269796133041381,0.5166666666666667,0.35,1.0
