experiment_id,run_id,variant,status,optimizer,learning_rate,schedule,seed,image_size,sequence_length,grayscale,parameter_count,epochs_completed,best_epoch,training_time_seconds,validation_accuracy,validation_macro_f1,final_train_accuracy,final_train_loss,final_validation_loss,generalization_gap,notes
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,COMPLETED,SGD,0.01,,42,24,12,False,88619,15,11,1.3401851000089664,0.31666666666666665,0.2555650279435446,0.3444444537162781,1.1003899574279785,1.1001935005187988,0.027777787049611424,
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,COMPLETED,SGD,0.001,,42,24,12,False,88619,6,2,0.894525399999111,0.3333333333333333,0.239891971673968,0.33888888359069824,1.1211438179016113,1.1051543951034546,0.005555550257364927,
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,COMPLETED,RMSprop,0.001,,42,24,12,False,88619,10,6,1.367511000004015,0.3333333333333333,0.16666666666666666,0.3055555522441864,1.104017734527588,1.0987266302108765,-0.027777781089146913,
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,COMPLETED,RMSprop,0.0003,,42,24,12,False,88619,13,9,1.5687617999938084,0.3333333333333333,0.16666666666666666,0.2666666805744171,1.1120545864105225,1.1008167266845703,-0.0666666527589162,
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,COMPLETED,Adam,0.001,,42,24,12,False,88619,13,9,1.6727860000100918,0.3333333333333333,0.16666666666666666,0.3499999940395355,1.0976390838623047,1.0985426902770996,0.016666660706202208,
FND-006,fnd006_06_adam_0p0003,Adam_0.0003_constant,COMPLETED,Adam,0.0003,,42,24,12,False,88619,7,3,1.431726199996774,0.36666666666666664,0.2915816673466612,0.3222222328186035,1.1269010305404663,1.0996042490005493,-0.044444433848063125,
FND-006,fnd006_07_adamw_0p001,AdamW_0.001_constant,COMPLETED,AdamW,0.001,,42,24,12,False,88619,13,9,1.6855675999977393,0.3333333333333333,0.16666666666666666,0.3444444537162781,1.0983175039291382,1.0984967947006226,0.011111120382944761,
FND-006,fnd006_08_adamw_0p0003,AdamW_0.0003_constant,COMPLETED,AdamW,0.0003,,42,24,12,False,88619,7,3,1.4451614999998128,0.36666666666666664,0.2915816673466612,0.3222222328186035,1.1269010305404663,1.0996042490005493,-0.044444433848063125,
FND-006,fnd006_09_adam_exponential_decay_0p003,Adam_0.003_exponential_decay,COMPLETED,Adam,0.003,exponential_decay,42,24,12,False,88619,10,6,1.4459402000065893,0.3333333333333333,0.16666666666666666,0.3611111044883728,1.099095106124878,1.098805546760559,0.027777771155039488,
FND-006,fnd006_06_adam_0p0003_seed43,Adam_0.0003_constant_stability_repeat,COMPLETED,Adam,0.0003,,43,24,12,False,88619,7,3,1.2477256999991369,0.3333333333333333,0.2811413205083453,0.31111112236976624,1.140804648399353,1.099829912185669,-0.02222221096356708,
FND-006,fnd006_06_adam_0p0003_seed44,Adam_0.0003_constant_stability_repeat,COMPLETED,Adam,0.0003,,44,24,12,False,88619,7,3,1.2550474000017857,0.3333333333333333,0.31611998878609476,0.3222222328186035,1.1431944370269775,1.0993517637252808,-0.0111111005147298,
