experiment_id,run_id,variant,epoch,accuracy,loss,val_accuracy,val_loss
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,1,0.42222222685813904,1.2190910577774048,0.3333333432674408,1.1057649850845337
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,2,0.3499999940395355,1.182743787765503,0.3333333432674408,1.1090805530548096
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,3,0.32777777314186096,1.135553240776062,0.3333333432674408,1.0996261835098267
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,4,0.3444444537162781,1.100180745124817,0.3333333432674408,1.0988456010818481
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,5,0.3166666626930237,1.1034166812896729,0.3333333432674408,1.1020903587341309
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,6,0.3166666626930237,1.1019591093063354,0.3333333432674408,1.1049925088882446
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,7,0.3055555522441864,1.1180603504180908,0.3333333432674408,1.0989710092544556
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,8,0.3333333432674408,1.1018513441085815,0.3333333432674408,1.0986549854278564
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,9,0.3499999940395355,1.0976390838623047,0.3333333432674408,1.0985426902770996
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,10,0.32777777314186096,1.0980162620544434,0.3166666626930237,1.0990275144577026
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,11,0.31111112236976624,1.1036887168884277,0.3166666626930237,1.0988900661468506
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,12,0.3499999940395355,1.0991109609603882,0.3499999940395355,1.0987632274627686
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,13,0.3166666626930237,1.100745439529419,0.3333333432674408,1.0985915660858154
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,14,0.3499999940395355,1.0982649326324463,0.3333333432674408,1.098459243774414
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,15,0.3222222328186035,1.099459171295166,0.3333333432674408,1.0984779596328735
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,16,0.3333333432674408,1.0985227823257446,0.3333333432674408,1.0990989208221436
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,17,0.3222222328186035,1.104552149772644,0.3333333432674408,1.0996835231781006
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,18,0.32777777314186096,1.101822853088379,0.3333333432674408,1.0984413623809814
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,19,0.33888888359069824,1.0985009670257568,0.3333333432674408,1.0983489751815796
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,20,0.3333333432674408,1.0988658666610718,0.3333333432674408,1.0982170104980469
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,21,0.3333333432674408,1.0981284379959106,0.3333333432674408,1.0979098081588745
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,22,0.3444444537162781,1.0972737073898315,0.3333333432674408,1.0979912281036377
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,23,0.3166666626930237,1.1024945974349976,0.36666667461395264,1.0975018739700317
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,24,0.3222222328186035,1.0988426208496094,0.3333333432674408,1.100030541419983
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,25,0.3499999940395355,1.1066282987594604,0.3333333432674408,1.0974063873291016
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,26,0.36666667461395264,1.099517822265625,0.3333333432674408,1.0960670709609985
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,27,0.33888888359069824,1.0971832275390625,0.38333332538604736,1.0951491594314575
FND-005,fnd005_correct_training_loop,correct_training_validation_loop,28,0.3888888955116272,1.0957707166671753,0.38333332538604736,1.094705581665039
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,1,0.36666667461395264,1.1358964443206787,0.3333333432674408,1.1247681379318237
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,2,0.27222222089767456,1.1597541570663452,0.3333333432674408,1.207740068435669
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,3,0.32777777314186096,1.1364457607269287,0.3333333432674408,1.1478683948516846
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,4,0.3222222328186035,1.1304994821548462,0.3333333432674408,1.132487416267395
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,5,0.3444444537162781,1.1231881380081177,0.3333333432674408,1.1104265451431274
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,6,0.3222222328186035,1.1273733377456665,0.3333333432674408,1.1052989959716797
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,7,0.3055555522441864,1.1236037015914917,0.3333333432674408,1.1020374298095703
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,8,0.30000001192092896,1.115995168685913,0.3333333432674408,1.1017919778823853
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,9,0.3444444537162781,1.105197787284851,0.3333333432674408,1.1013069152832031
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,10,0.3166666626930237,1.1127727031707764,0.3333333432674408,1.100968599319458
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,11,0.3444444537162781,1.1003899574279785,0.3166666626930237,1.1001935005187988
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,12,0.3333333432674408,1.101842999458313,0.3333333432674408,1.1027133464813232
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,13,0.3166666626930237,1.104925513267517,0.3166666626930237,1.1017409563064575
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,14,0.3777777850627899,1.099303126335144,0.3499999940395355,1.1026504039764404
FND-006,fnd006_01_sgd_0p01,SGD_0.01_constant,15,0.30000001192092896,1.1212408542633057,0.3333333432674408,1.1005456447601318
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,1,0.3444444537162781,1.1162911653518677,0.3333333432674408,1.1059969663619995
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,2,0.33888888359069824,1.1211438179016113,0.3333333432674408,1.1051543951034546
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,3,0.3222222328186035,1.1186463832855225,0.3333333432674408,1.1061135530471802
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,4,0.35555556416511536,1.1095068454742432,0.3333333432674408,1.1062161922454834
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,5,0.3777777850627899,1.1087055206298828,0.3333333432674408,1.1069737672805786
FND-006,fnd006_02_sgd_0p001,SGD_0.001_constant,6,0.3444444537162781,1.1218674182891846,0.3333333432674408,1.1060354709625244
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,1,0.3444444537162781,1.5301237106323242,0.3333333432674408,1.1451388597488403
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,2,0.3222222328186035,1.1860804557800293,0.3166666626930237,1.1989284753799438
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,3,0.3055555522441864,1.1502974033355713,0.3499999940395355,1.111045479774475
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,4,0.3611111044883728,1.1115187406539917,0.3333333432674408,1.1075913906097412
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,5,0.3055555522441864,1.114990472793579,0.3166666626930237,1.0993106365203857
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,6,0.3055555522441864,1.104017734527588,0.3333333432674408,1.0987266302108765
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,7,0.32777777314186096,1.1006598472595215,0.3333333432674408,1.0988540649414062
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,8,0.3333333432674408,1.1000899076461792,0.3333333432674408,1.0988761186599731
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,9,0.3333333432674408,1.0987802743911743,0.3333333432674408,1.0989952087402344
FND-006,fnd006_03_rmsprop_0p001,RMSprop_0.001_constant,10,0.3333333432674408,1.0995111465454102,0.3333333432674408,1.0990664958953857
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,1,0.3611111044883728,1.1896930932998657,0.3333333432674408,1.1208924055099487
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,2,0.31111112236976624,1.159726858139038,0.3333333432674408,1.1245166063308716
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,3,0.31111112236976624,1.1408261060714722,0.3333333432674408,1.121436357498169
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,4,0.3611111044883728,1.1180001497268677,0.3333333432674408,1.101447343826294
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,5,0.3611111044883728,1.1072654724121094,0.3333333432674408,1.1063250303268433
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,6,0.3055555522441864,1.1130343675613403,0.3333333432674408,1.1055771112442017
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,7,0.3055555522441864,1.124380350112915,0.3333333432674408,1.1108601093292236
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,8,0.3166666626930237,1.1192225217819214,0.3333333432674408,1.1009808778762817
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,9,0.2666666805744171,1.1120545864105225,0.3333333432674408,1.1008167266845703
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,10,0.3222222328186035,1.1110414266586304,0.3333333432674408,1.1029162406921387
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,11,0.3055555522441864,1.110779047012329,0.3333333432674408,1.1012437343597412
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,12,0.3166666626930237,1.1082369089126587,0.3333333432674408,1.103248119354248
FND-006,fnd006_04_rmsprop_0p0003,RMSprop_0.0003_constant,13,0.3222222328186035,1.1071884632110596,0.3333333432674408,1.1056493520736694
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,1,0.42222222685813904,1.2190910577774048,0.3333333432674408,1.1057649850845337
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,2,0.3499999940395355,1.182743787765503,0.3333333432674408,1.1090805530548096
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,3,0.32777777314186096,1.135553240776062,0.3333333432674408,1.0996261835098267
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,4,0.3444444537162781,1.100180745124817,0.3333333432674408,1.0988456010818481
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,5,0.3166666626930237,1.1034166812896729,0.3333333432674408,1.1020903587341309
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,6,0.3166666626930237,1.1019591093063354,0.3333333432674408,1.1049925088882446
FND-006,fnd006_05_adam_0p001,Adam_0.001_constant,7,0.3055555522441864,1.1180603504180908,0.3333333432674408,1.0989710092544556
